地区,新增确诊,现有确诊,累计确诊,累计死亡,数据来源日期
台湾,31433,3974551,3995621,7328,2022/07/08
香港,453,266454,340451,9407,2022/07/08
澳门,38,460,550,2,2022/07/08
安徽,25,335,1413,6,2022/07/09
天津,0,147,2023,3,2022/07/08
上海,11,139,63378,595,2022/07/09
吉林,0,121,40293,5,2022/07/08
广东,3,108,7520,8,2022/07/08
福建,3,85,3502,1,2022/07/08
江苏,2,34,2280,0,2022/07/08
北京,3,27,3705,9,2022/07/09
山东,1,27,2780,7,2022/07/09
内蒙古,4,19,2112,1,2022/07/08
陕西,1,19,3351,3,2022/07/08
重庆,0,18,746,6,2022/07/08
四川,0,18,2384,3,2022/07/08
浙江,1,17,3167,1,2022/07/08
云南,0,16,2179,2,2022/07/08
海南,0,4,292,6,2022/07/08
山西,0,4,427,0,2022/07/08
江西,0,3,1393,1,2022/07/08
湖北,0,3,68403,4512,2022/07/08
河南,0,2,3185,22,2022/07/08
黑龙江,0,1,2989,13,2022/07/08
湖南,0,1,1402,4,2022/07/08
辽宁,0,1,1719,2,2022/07/08
甘肃,0,1,682,2,2022/07/08
青海,0,0,147,0,2022/07/08
西藏,0,0,1,0,2022/07/08
河北,0,0,2007,7,2022/07/08
广西,0,0,1649,2,2022/07/08
贵州,0,0,185,2,2022/07/08
新疆,0,0,1008,3,2022/07/08
宁夏,0,0,122,0,2022/07/08
